country,station,pop,stockID,day,month,year,lat,lon,fishno,length_cm,weight_g,age,sex,maturity,folder,picname,cal
Iceland,403,IC,337807,5,7,2009,64.14,22.56,47,31.0,330.0,3,M,5,IC,403_47,203
Iceland,408,IC,337812,8,7,2009,63.20,18.53,4,33.0,441.4,9,M,5,IC,408_4,203
Iceland,408,IC,337812,8,7,2009,63.20,18.53,7,32.0,346.4,5,M,5,IC,408_7,203
Iceland,408,IC,337812,8,7,2009,63.20,18.53,8,32.0,337.8,4,F,5,IC,408_8,203
Iceland,408,IC,337812,8,7,2009,63.20,18.53,9,32.0,355.4,4,M,5,IC,408_9,203
Iceland,408,IC,337812,8,7,2009,63.20,18.53,11,33.0,414.8,4,M,5,IC,408_11,203
Iceland,408,IC,337812,8,7,2009,63.20,18.53,16,33.0,345.2,6,M,6,IC,408_16,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,8,34.5,334.0,8,M,5,NO,9012_8,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,9,30.5,259.0,8,F,5,NO,9012_9,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,11,33.5,338.0,11,F,5,NO,9012_11,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,17,33.0,308.0,8,F,5,NO,9012_17,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,19,32.0,261.0,7,M,6,NO,9012_19,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,20,35.5,328.0,8,F,5,NO,9012_20,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,22,34.0,355.0,7,M,5,NO,9012_22,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,23,32.5,283.0,8,M,5,NO,9012_23,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,24,31.0,268.0,6,F,5,NO,9012_24,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,28,34.5,372.0,8,M,5,NO,9012_28,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,31,30.5,223.0,6,F,5,NO,9012_31,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,34,35.0,362.0,12,F,5,NO,9012_34,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,35,29.0,207.0,4,F,6,NO,9012_35,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,37,31.5,267.0,6,M,5,NO,9012_37,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,39,33.0,304.0,8,F,5,NO,9012_39,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,46,33.5,309.0,8,M,5,NO,9012_46,203
Norway,9012,NO,39012,24,2,2010,62.53,5.2,48,32.5,280.0,8,M,6,NO,9012_48,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,2,33.0,300.0,6,F,5,NO,6317_2,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,3,31.5,253.0,7,M,5,NO,6317_3,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,4,34.0,333.0,7,M,4,NO,6317_4,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,13,33.0,291.0,8,M,4,NO,6317_13,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,15,34.0,308.0,8,F,5,NO,6317_15,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,19,29.5,226.0,4,M,5,NO,6317_19,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,20,31.5,257.0,6,F,5,NO,6317_20,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,22,31.5,262.0,8,F,4,NO,6317_22,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,27,30.5,237.0,6,M,4,NO,6317_27,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,29,33.5,347.0,8,M,5,NO,6317_29,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,31,32.0,288.0,7,M,4,NO,6317_31,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,33,33.5,313.0,8,F,5,NO,6317_33,203
Norway,6317,NO,86317,14,2,2010,62.52,5.23,42,36.0,402.0,11,M,5,NO,6317_42,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,2,34.0,318.0,8,M,5,NO,9011_2,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,3,34.5,362.0,8,M,5,NO,9011_3,203
