country;station;pop;stockID;day;month;year;lat;lon;fishno;length_cm;weight_g;age;sex;maturity;folder;picname;cal
Norway;9011;NO;39011;24;2;2010;62.53;5.25;32;31.5;249.0;6;F;5;NO;9011_32;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;34;32.5;255.0;6;F;5;NO;9011_34;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;36;32.5;270.0;6;M;5;NO;9011_36;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;37;32.0;320.0;8;F;5;NO;9011_37;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;38;33.0;330.0;7;F;5;NO;9011_38;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;39;32.5;301.0;8;F;5;NO;9011_39;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;42;29.0;203.0;6;M;5;NO;9011_42;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;43;33.5;333.0;8;M;5;NO;9011_43;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;45;33.5;360.0;8;F;5;NO;9011_45;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;46;33.0;285.0;8;M;5;NO;9011_46;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;49;33.0;287.0;8;F;5;NO;9011_49;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;50;33.5;295.0;8;F;5;NO;9011_50;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;10;32.5;298.0;8;M;5;NO;6319_10;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;17;32.0;273.0;7;M;5;NO;6319_17;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;35;33.5;284.0;8;M;5;NO;6319_35;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;36;33.5;320.0;7;M;5;NO;6319_36;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;38;32.5;296.0;8;M;5;NO;6319_38;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;121;31.9;315.4;6;F;6;SC;525_121;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;122;30.1;311.9;8;M;6;SC;525_122;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;127;28.9;209.8;7;M;6;SC;525_127;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;130;27.4;220.1;6;M;6;SC;525_130;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;131;29.4;233.2;6;M;6;SC;525_131;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;133;29.8;255.0;6;F;6;SC;525_133;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;143;29.9;229.9;6;F;6;SC;525_143;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;144;31.5;289.3;7;F;6;SC;525_144;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;146;28.0;206.7;6;M;6;SC;525_146;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;147;28.2;202.9;6;F;6;SC;525_147;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;160;28.2;206.6;7;M;6;SC;525_160;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;176;28.3;229.7;7;M;6;SC;525_176;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;179;33.6;335.8;7;F;6;SC;525_179;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;180;28.5;229.8;6;M;6;SC;525_180;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;2;32.0;337.4;6;M;6;IC;403_2;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;4;31.0;279.3;6;M;5;IC;403_4;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;6;33.0;372.0;7;F;6;IC;403_6;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;13;33.0;369.6;7;F;6;IC;403_13;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;14;34.0;390.6;7;M;5;IC;403_14;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;24;33.0;323.7;7;F;5;IC;403_24;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;27;30.0;278.0;6;F;5;IC;403_27;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;28;32.0;284.8;6;F;6;IC;403_28;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;29;34.0;387.6;6;M;5;IC;403_29;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;34;33.0;384.0;6;M;5;IC;403_34;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;55;33.0;410.2;8;M;5;IC;403_55;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;57;34.0;355.6;7;M;5;IC;403_57;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;59;33.0;350.4;7;M;5;IC;403_59;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;60;33.0;375.6;8;F;5;IC;403_60;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;66;32.0;265.1;7;F;5;IC;403_66;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;81;34.0;408.8;6;M;5;IC;403_81;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;84;34.0;424.2;8;M;5;IC;403_84;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;89;32.0;319.6;8;F;5;IC;403_89;203
